,logFC,AveExpr,t,P.Value,adj.P.Val,B
PCLAF,821.1,662.63,5.616326985,0.00035436,0.029114857,-2.528396041
,-85.22,52.21,-5.614631395,0.000355115,0.029114857,-2.528806324
COL1A2,-40.34,77.89,-5.588727195,0.000366881,0.029885381,-2.535102966
DPY19L1,53.24,64.26,5.578313784,0.000371729,0.030086207,-2.537649384
MIR548N,-299.64,318.82,-5.560831518,0.000380025,0.030561791,-2.541944075
ADIPOQ,-50.98,55.83,-5.543102879,0.000388645,0.030833611,-2.546324651
MAP1LC3B,-17.24,23.8,-5.539957768,0.000390196,0.030833611,-2.547104457
IRF4,142.4,251.74,5.538874613,0.000390732,0.030833611,-2.547373204
MAST2,-279.64,302.64,-5.520514016,0.000399936,0.031109874,-2.551943394
PLXNB2,86.42,132.83,5.514370718,0.000403068,0.031109874,-2.553478734
VAV1,137.3,340.63,5.508795316,0.000405933,0.031109874,-2.554874843
COL5A2,-938.66,516.07,-5.494201658,0.000413539,0.031109874,-2.558541359
AOX1,-169.36,95.92,-5.493694322,0.000413806,0.031109874,-2.558669141
KLF9,254.7,183.83,5.490678956,0.000415398,0.031109874,-2.559429055
ATF4,3153.08,1729.9,5.484135027,0.000418876,0.031109874,-2.561080822
ATF4P3,-21.88,32.16,-5.480184799,0.00042099,0.031109874,-2.562079637
SDC1,-1749.02,1127.51,-5.47619085,0.00042314,0.031109874,-2.563090832
LRRC15,80.04,179.38,5.469801328,0.000426604,0.031109874,-2.564711321
PCK1,-37.5,34.63,-5.463889983,0.000429836,0.031109874,-2.566213585
CCL22,413.46,691.05,5.462162995,0.000430785,0.031109874,-2.566653023
RPL23,69.72,52.34,5.460994201,0.000431429,0.031109874,-2.566950569
SNORA21,30.22,51.61,5.455987063,0.000434198,0.031109874,-2.568226562
PNMT,-610.44,853.06,-5.454336175,0.000435116,0.031109874,-2.568647729
NKG7,-17.94,53.63,-5.449222265,0.000437971,0.031109874,-2.569953826
MXRA5,92,64.94,5.448768791,0.000438225,0.031109874,-2.57006975
MAOA,-159.26,240.57,-5.444769562,0.000440473,0.031109874,-2.571092849
ST3GAL4,-69.6,77.82,-5.443750993,0.000441048,0.031109874,-2.57135364
RUNX3,105.18,133.31,5.4342179,0.000446465,0.031218445,-2.573798719
CCN1,-76.4,88.14,-5.424911607,0.000451824,0.031218445,-2.576193072
PPARG,182.54,102.85,5.424189548,0.000452242,0.031218445,-2.576379154
TPO,1007.48,988.32,5.422387992,0.000453289,0.031218445,-2.576843626
ARPC3,69.24,116.34,5.419537869,0.00045495,0.031218445,-2.577579004
ARPC3P3,-691.14,1648.65,-5.407216249,0.000462206,0.031322454,-2.580766164
ID1,56.64,81.64,5.403599303,0.00046436,0.031322454,-2.581704207
,-880.48,684.2,-5.400912772,0.000465967,0.031322454,-2.582401676
TRIB2,36.82,24.53,5.397378135,0.00046809,0.031322454,-2.583320272
GRB2,-98.18,64.81,-5.39608496,0.000468869,0.031322454,-2.583656617
ADH1A,-604.88,781.66,-5.38867667,0.000473362,0.031456131,-2.585586228
ADH1B,15.5,14.61,5.375726447,0.000481327,0.031817999,-2.588970706
ADH1C,63.18,43.57,5.363377505,0.000489058,0.032160688,-2.592211579
ADIPOQ,-33.36,35.62,-5.359309024,0.000491635,0.032162608,-2.593282219
TRAC,516.94,273.63,5.349079865,0.000498178,0.032274517,-2.595980451
IGLC2,163.82,430.03,5.340360936,0.00050383,0.032274517,-2.598287538
IGLC3,-7.52,5.8,-5.337451839,0.000505731,0.032274517,-2.599058787
AKAP1,-391.1,751.03,-5.332733962,0.000508831,0.032274517,-2.600311154
DEPP1,106.1,168.05,5.330898023,0.000510043,0.032274517,-2.600799035
RPS6KA1,-152.72,109.42,-5.329351621,0.000511066,0.032274517,-2.601210205
AMPH,-471.08,377.86,-5.329090328,0.000511239,0.032274517,-2.601279701
PPT1,-280.4,281.5,-5.323963482,0.000514648,0.032328102,-2.602644493
